 区站号 站名              经度    纬度     台站高度
54236 彰武                  122.53   42.42  441.00
54237 阜新                  121.65   42.03 1051.00
54243 昌图                  124.12   42.78  483.00
54254 开原                  124.05   42.53  895.00
54260 辽源                  125.08   42.92  714.00
54266 梅河口（海龙）        125.63   42.53  531.00
54273 桦甸                  126.75   42.98  716.00
54286 和龙                  129.00   42.53  760.00
54291 珲春                  130.28   42.90  596.00
54292 延吉                  129.47   42.88  263.00
54304 崇礼                  115.28   40.96  589.00
54305 太仆寺旗              115.28   41.90  625.00
54308 丰宁                  116.63   41.22 1491.00
54311 围场                  117.75   41.93 1310.00
54318 隆化                  117.73   41.31  786.00
54319 平泉                  118.66   41.00  546.00
54324 朝阳                  120.45   41.55 1200.00
54326 叶柏寿                119.70   41.38  380.00
54332 辽中                  122.72   41.52  804.00
54333 新民                  122.80   41.98 1470.00
54335 黑山                  122.01   41.68  607.00
54337 锦州                  121.12   41.13 1154.00
54348 灯塔                  123.32   41.42  415.00
54349 本溪县                124.28   41.30 1092.00
54353 新宾                  125.05   41.73  733.00
54362 通化县                125.75   41.66 1050.00
54377 集安                  126.15   41.10  922.00
54401 张家口                114.88   40.78  334.00
54404 赤城                  115.83   40.90  531.00
54405 怀来                  115.50   40.40 1297.00
54408 涿鹿                  115.21   40.38  901.00
54416 密云                  116.87   40.38  213.00
54420 滦平                  117.33   40.93  248.00
54423 承德                  117.93   40.97  808.00
54425 兴隆                  117.48   40.41  988.00
54429 遵化                  117.95   40.20  648.00
54430 承德县                118.15   40.76  635.00
54431 通县                  116.63   39.92 1166.00
54432 宽城                  118.48   40.60  440.00
54434 迁西                  118.30   40.15  573.00
54437 滦南                  118.66   39.50  809.00
54439 迁安                  118.71   40.00  706.00
54452 建昌                  119.82   40.80  401.00
54454 绥中                  120.35   40.35 1015.00
54455 兴城                  120.70   40.58  911.00
54470 大洼                  122.07   40.98  878.00
54471 营口                  122.27   40.67 1459.00
54472 海城                  122.72   40.88 1079.00
54474 盖县                  122.35   40.42  545.00
54486 岫岩                  123.28   40.28 1139.00
54493 宽甸                  124.78   40.72  779.00
54497 丹东                  124.33   40.05 1220.00
54502 涿州                  115.96   39.48 1061.00
54503 容城                  115.85   39.05 1440.00
54506 新城                  115.85   39.33  942.00
54507 易县                  115.50   39.35   85.00
54510 大厂                  116.98   39.88  428.00
54512 固安                  116.28   39.43  391.00
54515 安次                  116.70   39.50 1201.00
54518 霸州（县）            116.38   39.12 1165.00
54519 永清                  116.48   39.31  172.00
54520 三河                  117.08   39.96 1304.00
54521 香河                  116.98   39.76 1441.00
54522 玉田                  117.73   39.88 1059.00
54525 宝坻                  117.28   39.70  720.00
54531 滦县                  118.75   39.73 1148.00
54532 丰润                  118.10   39.80  107.00
54533 丰南                  118.12   39.55  112.00
54534 唐山                  118.15   39.67 1307.00
54535 唐海                  118.45   39.28   77.00
54539 乐亭                  118.90   39.42  720.00
54540 昌黎                  119.16   39.71  453.00
54563 瓦房店                121.75   39.73  979.00
54584 庄河                  122.95   39.72  159.00
54590 东沟                  124.15   39.88 1377.00
54601 徐水                  115.65   39.01  119.00
54603 高阳                  115.78   38.68 1320.00
54604 安国                  115.33   38.41  679.00
54605 安新                  115.93   38.91  442.00
54606 饶阳                  115.73   38.23  395.00
54607 望都                  115.12   38.72  538.00
54608 深州（县）            115.55   38.00 1156.00
54609 安平                  115.52   38.23  654.00
54610 任丘                  116.08   38.71 1292.00
54611 满城                  115.31   38.95  424.00
54612 文安                  116.45   38.86 1229.00
54613 大城                  116.61   38.70  419.00
54614 河间                  116.08   38.45 1248.00
54615 青县                  116.83   38.58 1182.00
54616 沧州                  116.83   38.33  620.00
54617 献县                  116.11   38.18 1487.00
54618 泊头                  116.55   38.08  326.00
54619 静海                  116.91   38.91 1009.00
54620 蠡县                  115.56   38.48  400.00
54621 深泽                  115.18   38.18  738.00
54624 黄骅                  117.35   38.37  208.00
54626 肃宁                  115.81   38.41  143.00
54627 盐山                  117.23   38.03  555.00
54628 海兴                  117.48   38.15  671.00
54632 平乡                  115.03   37.06  568.00
54636 雄县                  116.10   38.98 1396.00
54640 鸡泽                  114.86   36.91 1031.00
54644 孟村                  117.08   38.05   71.00
54700 武强                  115.98   38.03 1039.00
54701 辛集                  115.21   37.91  238.00
54702 衡水                  115.70   37.73  482.00
54703 武邑                  115.88   37.80  238.00
54704 冀县                  115.56   37.55  359.00
54705 南宫                  115.38   37.37  694.00
54706 清河                  115.65   37.06  985.00
54707 故城                  115.98   37.35 1279.00
54708 枣强                  115.72   37.52  207.00
54710 阜城                  116.16   37.86  211.00
54711 景县                  116.30   37.68 1301.00
54713 东光                  116.53   37.88 1467.00
54714 德州                  116.32   37.43  214.00
54717 吴桥                  116.40   37.63  168.00
54719 南皮                  116.68   38.03 1071.00
54725 惠民县                117.53   37.50  200.00
54734 滨县                  118.02   37.37  414.00
54749 莱州                  119.93   37.18 1020.00
54764 福山                  121.25   37.50 1404.00
54777 文登                  122.03   37.18  617.00
54801 临西                  115.66   36.85 1112.00
54804 大名                  115.15   36.30 1255.00
54806 聊城                  115.96   36.48  676.00
54809 馆陶                  115.28   36.55  846.00
54819 肥城                  116.76   36.23 1491.00
54820 丘县                  115.16   36.81  685.00
54821 济阳                  117.11   36.98 1196.00
54823 济南                  116.98   36.68  520.00
54827 泰安                  117.15   36.16  191.00
54830 淄博                  118.00   36.83  608.00
54843 寒亭                  119.18   36.75 1456.00
54846 高密                  119.75   36.41  578.00
54849 胶州                  120.00   36.30   73.00
54852 莱阳                  120.70   36.93  626.00
54857 青岛                  120.33   36.90   65.00
54900 濮阳                  115.01   35.70 1267.00
54906 荷泽                  115.43   35.25  234.00
54915 济宁                  116.58   35.45  712.00
54936 莒县                  118.83   35.58  793.00
54938 临沂                  118.35   35.05 1087.00
55578 日喀则                 88.88   29.25  665.00
55591 拉萨                   91.13   29.67  760.00
55598 泽当                   91.76   29.25 1043.00
56021 曲麻菜                 95.78   34.13 1349.00
56029 玉树                   97.02   33.02 1244.00
56038 石渠                   98.10   32.98 1307.00
56045 甘德                   99.90   33.97  967.00
56065 河南                  101.60   34.73 1285.00
56074 玛曲                  102.08   34.00  320.00
56079 若尔盖                102.97   33.58  126.00
56080 合作                  102.90   35.00 1177.00
56081 临潭                  103.35   34.70  897.00
56092 陇西                  104.65   35.00 1353.00
56093 岷县                  104.01   34.43 1002.00
56094 舟曲                  104.37   33.78  380.00
56095 宕昌                  104.38   34.03  851.00
56096 武都                  104.92   33.57 1015.00
56180 茂汶                  103.85   31.68 1056.00
56187 温江                  103.83   30.70 1127.00
56188 灌县                  103.66   30.98 1323.00
56192 文县                  104.75   32.93 1486.00
56193 平武                  104.52   32.42  649.00
56196 绵阳                  104.68   31.47  732.00
56198 德阳                  104.38   31.15 1276.00
56280 名山                  103.13   30.10  472.00
56284 邛崃                  103.48   30.42  380.00
56288 双流                  103.92   30.58  693.00
56291 广汉                  104.28   30.97 1279.00
56295 简阳                  104.55   30.40 1067.00
56297 仁寿                  104.15   30.02  334.00
56312 林芝                   94.47   29.57  903.00
56357 稻城                  100.30   29.05  690.00
56376 汉源                  102.68   29.35   63.00
56380 洪雅                  103.37   29.92  787.00
56386 乐山                  103.75   29.56  671.00
56389 犍为                  103.95   29.20 1338.00
56391 眉山                  103.82   30.05  988.00
56434 察隅                   97.47   28.65 1089.00
56474 冕宁                  102.17   28.55 1263.00
56479 昭觉                  102.85   28.00  953.00
56492 宜宾                  104.60   28.80  372.00
56493 南溪                  104.97   28.85 1209.00
56571 西昌                  102.27   27.90  809.00
56578 宁南                  102.75   27.07  759.00
56586 昭通                  103.75   27.33  524.00
56598 赫章                  104.73   27.11 1308.00
56643 六库                   98.85   26.87  176.00
56651 丽江                  100.47   26.83 1313.00
56670 米易                  102.10   26.85  926.00
56688 东川                  103.17   26.10 1084.00
56693 水城                  104.87   26.58  531.00
56697 宣威                  104.08   26.22  816.00
56748 保山                   99.18   25.12  385.00
56751 大理                  100.18   25.70 1365.00
56763 元谋                  101.87   25.73  855.00
56768 楚雄                  101.53   25.02  912.00
56778 昆明                  102.68   25.02 1291.00
56786 沾益                  103.83   25.58  607.00
56788 陆良                  103.66   25.03  544.00
56792 普安                  104.96   25.80 1427.00
56844 潞西                   98.58   24.41  379.00
56856 景东                  100.87   24.47  643.00
56875 玉溪                  102.55   24.35 1223.00
56946 耿马                   99.40   23.55  655.00
56951 临沧                  100.22   23.95 1463.00
56959 景洪                  100.78   22.00  450.00
56964 思茅                  101.40   22.67  968.00
56966 元江                  101.98   23.60  520.00
